S1	E1	S2	E2	LEN1	LEN2	%IDY	TAGS	
8701	184119	1	175451	175419	175451	99.88	chr01	chr01
184133	193002	176105	184984	8870	8880	98.93	chr01	chr01
193099	218454	184979	210400	25356	25422	98.49	chr01	chr01
218635	246229	225148	252840	27595	27693	98.36	chr01	chr01
247275	249168	252834	254721	1894	1888	98.94	chr01	chr01
249871	250958	255339	256457	1088	1119	91.51	chr01	chr01
251192	251560	256453	256794	369	342	87.80	chr01	chr01
251561	252182	257005	257630	622	626	93.22	chr01	chr01
252178	252921	257870	258605	744	736	97.59	chr01	chr01
253304	255209	258597	260574	1906	1978	95.35	chr01	chr01
255207	256973	267327	269085	1767	1759	98.31	chr01	chr01
256966	257893	272929	273859	928	931	99.03	chr01	chr01
257893	258851	19344171	19343209	959	963	97.61	chr01	chr01
258231	262059	4339309	4335477	3829	3833	98.90	chr01	chr01
262056	264088	10362912	10364944	2033	2033	95.63	chr01	chr01
266949	268985	17700376	17698381	2037	1996	86.08	chr01	chr01
272733	278726	12445760	12439765	5994	5996	96.47	chr01	chr01
285919	288171	27152813	27150554	2253	2260	97.22	chr01	chr01
288172	294172	273854	279863	6001	6010	98.79	chr01	chr01
294616	299922	279860	285117	5307	5258	97.11	chr01	chr01
300002	300101	19432430	19432529	100	100	100.00	chr01	chr01
300093	301247	285117	286269	1155	1153	98.87	chr01	chr01
301249	312918	286537	298163	11670	11627	98.40	chr01	chr01
312910	315549	299206	301843	2640	2638	99.36	chr01	chr01
315792	318470	301840	304516	2679	2677	94.96	chr01	chr01
320664	321455	304504	305313	792	810	92.61	chr01	chr01
321543	326080	305314	309858	4538	4545	97.14	chr01	chr01
326547	383861	309856	367113	57315	57258	99.03	chr01	chr01
383855	391507	367145	374906	7653	7762	97.57	chr01	chr01
391495	398378	374962	381851	6884	6890	99.32	chr01	chr01
398377	398639	382087	382372	263	286	90.21	chr01	chr01
398903	399660	382368	383125	758	758	98.81	chr01	chr01
399660	401305	384130	385758	1646	1629	97.46	chr01	chr01
401307	403955	386001	388631	2649	2631	91.55	chr01	chr01
403962	404556	390111	390683	595	573	94.63	chr01	chr01
404556	404774	34021504	34021287	219	218	98.63	chr01	chr01
404830	406571	391273	392985	1742	1713	91.56	chr01	chr01
411055	412353	393234	394495	1299	1262	94.31	chr01	chr01
412575	413850	394513	395801	1276	1289	96.44	chr01	chr01
414103	414298	396063	396259	196	197	93.40	chr01	chr01
414577	415269	396314	397008	693	695	91.87	chr01	chr01
415774	435819	397208	417164	20046	19957	97.50	chr01	chr01
435812	437058	418608	419830	1247	1223	94.95	chr01	chr01
437058	438285	420095	421256	1228	1162	92.35	chr01	chr01
438335	439153	421837	422646	819	810	88.40	chr01	chr01
439669	442386	422645	425417	2718	2773	96.25	chr01	chr01
442338	445610	425417	428739	3273	3323	97.59	chr01	chr01
445556	450014	428738	433178	4459	4441	98.68	chr01	chr01
450008	452386	433456	435840	2379	2385	94.66	chr01	chr01
452380	453256	436032	436907	877	876	94.21	chr01	chr01
453451	453835	436987	437468	385	482	76.03	chr01	chr01
453846	454063	437669	437888	218	220	95.00	chr01	chr01
454690	455295	438063	438684	606	622	93.75	chr01	chr01
455462	456284	438715	439531	823	817	88.14	chr01	chr01
456517	459132	439673	442363	2616	2691	91.38	chr01	chr01
459371	461869	442365	444856	2499	2492	96.86	chr01	chr01
462243	462554	10684801	10685125	312	325	90.49	chr01	chr01
462293	462822	34800176	34800705	530	530	87.52	chr01	chr01
465759	469188	444851	448360	3430	3510	96.33	chr01	chr01
469428	471138	448356	450071	1711	1716	98.54	chr01	chr01
471133	475023	462935	466842	3891	3908	96.68	chr01	chr01
475022	483553	466943	475518	8532	8576	97.62	chr01	chr01
483553	500426	475363	492267	16874	16905	98.32	chr01	chr01
500417	517418	493635	510643	17002	17009	99.35	chr01	chr01
517482	525384	510634	518578	7903	7945	95.98	chr01	chr01
526132	527182	518572	519623	1051	1052	98.67	chr01	chr01
527514	540377	519619	532494	12864	12876	98.35	chr01	chr01
540149	540731	532359	532939	583	581	96.06	chr01	chr01
545785	548939	2220109	2223255	3155	3147	94.72	chr01	chr01
550331	551336	42151735	42150735	1006	1001	95.65	chr01	chr01
551789	553248	12755158	12756622	1460	1465	95.57	chr01	chr01
566759	567542	532936	533717	784	782	97.58	chr01	chr01
567544	599797	533812	566104	32254	32293	98.86	chr01	chr01
599795	624308	566450	590957	24514	24508	98.59	chr01	chr01
624433	631859	590945	598359	7427	7415	97.02	chr01	chr01
631843	634161	598409	600688	2319	2280	96.05	chr01	chr01
634164	635802	600924	602602	1639	1679	95.06	chr01	chr01
636045	649243	602600	615837	13199	13238	98.69	chr01	chr01
649243	677057	615982	643954	27815	27973	98.45	chr01	chr01
677585	678738	644117	645246	1154	1130	92.82	chr01	chr01
680170	680687	657194	657788	518	595	77.80	chr01	chr01
680936	681906	657870	658802	971	933	88.39	chr01	chr01
